slader,slader_self,slader_other,slader_sum,books,books_self,books_other,books_sum,pixnet,pixnet_self,pixnet_other,pixnet_sum,chegg,chegg_self,chegg_other,chegg_sum,ebay,ebay_self,ebay_other,ebay_sum,xuite,xuite_self,xuite_other,xuite_sum,coursehero ,coursehero_self,coursehero_other,coursehero_sum,momo,momo_self,momo_other,momo_sum,basketball,backetball_self,basketball_other,basketball_sum,Symbolab,symbolab_self,symbolab_other,symbolab_sum,sky,sky_self,sky_other,sky_sum,Juksy,jusky_self,jusky_other,jusky_sum
,1,9,10,,1,7,8,,0,2,2,,,,1,,3,0,3,,,,15,,1,0,1,,2,5,7,,0,2,2,,0,3,3,,0,4,4,,0,8,8
,1,3,4,,1,4,5,,1,4,5,,,,0,,0,0,0,,,,7,,0,0,0,,2,5,7,,0,4,4,,0,3,3,,3,3,6,,0,3,3
,1,3,4,,1,8,9,,0,3,3,,,,4,,1,0,1,,,,1,,0,0,0,,1,8,9,,3,4,7,,0,4,4,,2,0,2,,0,9,9
,1,3,4,,0,4,4,,1,5,6,,,,0,,7,12,19,,,,17,,1,0,1,,2,13,15,,0,2,2,,0,4,4,,7,3,10,,0,5,5
,1,2,3,,1,7,8,,0,2,2,,,,0,,2,6,8,,,,17,,2,0,2,,3,8,11,,0,3,3,,0,4,4,,1,3,4,,0,3,3
,0,0,0,,1,6,7,,1,4,5,,,,0,,2,6,8,,,,7,,0,0,0,,1,4,5,,0,2,2,,2,3,5,,1,3,4,,0,2,2
,1,4,5,,0,5,5,,1,11,12,,,,0,,7,14,21,,,,12,,0,0,0,,1,5,6,,0,2,2,,0,4,4,,3,0,3,,0,3,3
,1,4,5,,1,4,5,,1,3,4,,,,3,,0,0,0,,,,12,,0,0,0,,1,3,4,,1,3,4,,0,4,4,,3,0,3,,0,3,3
,1,3,4,,1,9,10,,1,4,5,,,,3,,0,0,0,,,,6,,1,0,1,,2,6,8,,0,1,1,,2,3,5,,1,0,1,,0,3,3
,1,2,3,,1,8,9,,0,3,3,,,,3,,0,1,1,,,,4,,0,0,0,,2,3,5,,0,2,2,,0,4,4,,3,4,7,,0,4,4
,1,4,5,,1,7,8,,0,4,4,,,,0,,0,0,0,,,,5,,0,0,0,,3,3,6,,3,3,6,,0,4,4,,2,3,5,,0,5,5
,1,4,5,,1,8,9,,0,4,4,,,,0,,0,0,0,,,,4,,0,0,0,,3,8,11,,0,4,4,,0,3,3,,2,2,4,,0,3,3
,1,3,4,,1,8,9,,1,10,11,,,,0,,7,8,15,,,,6,,0,0,0,,0,1,2,,3,4,7,,2,3,5,,1,3,4,,0,8,8
,0,0,0,,1,8,9,,1,5,6,,,,0,,7,14,21,,,,6,,0,0,0,,1,2,3,,0,2,2,,0,4,4,,3,3,6,,0,3,3
,1,4,5,,1,9,10,,1,4,5,,,,3,,7,14,21,,,,6,,1,0,1,,3,3,6,,3,3,6,,0,4,4,,1,3,4,,0,4,4
